ID,Task,Main Role,Starter List,Primary Ownership,Secondary Ownership,Contributor,Related WCAG SC,Level of related WCAG SC
IMG-016,"Alternate means of accessing CAPTCHA information are provided, such as audio CAPTCHA, logical question, or other equivalent means.",Design,x,Business Analysis,User Experience (UX) Design,none,1.1.1,A
IMG-017,Images which do not convey information are defined as decorative.,Author,"",Content Authoring,none,none,1.1.1,A
IMG-018,"Charts, graphs, infographics and other visual representations of information don't rely on color alone to convey information.",Design,x,Visual Design,User Experience (UX) Design,none,1.4.1,A
IMG-019,Text content that conveys information is not part of images.,Design,"",User Experience (UX) Design,Visual Design,Content Authoring,1.4.5,AA
IMG-020,Text that is placed on top of an image is handled semantically through HTML and CSS instead.,Development,"",Front-End Development,User Experience (UX) Design,none,1.4.5,AA
IMG-021,"Unless a particular presentation of text is essential to the information being conveyed, all images that contain text are only used for purely decorative purposes.",Design,x,Visual Design,User Experience (UX) Design,none,1.4.5,AA
IMG-022,"With the exception of logos, all images that contain text are only used for purely decorative purposes.",Design,"",Visual Design,Content Authoring,none,1.4.9,AAA
SEM-001,Informative content is provided through HTML markup.,Development,"",Front-End Development,"User Experience (UX) Design, Content Authoring",none,1.3.1,A
SEM-002,HTML elements are used according to the HTML specification.,Development,x,Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-003,Navigation groupings are marked up using HTML list or nav elements (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-004,Header sections are marked up using HTML header elements (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-005,The main section of a page is marked up using a HTML main element (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-006,The footer of the page is marked up using a HTML footer element (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-007,Content that is complementary to the main section is marked up using HTML aside elements (or other equivalent means).,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-008,"HTML elements are used based on the semantics they provide, not based on what they look like.",Development,x,Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-009,Decorative elements are embedded through the CSS presentation layer (or other equivalent means).,Development,"",Front-End Development,Content Authoring,none,1.3.1,A
SEM-010,All scripting behaviors are handled through JavaScript.,Development,"",Front-End Development,none,none,1.3.1,A
SEM-011,Elements that act as headings are marked up as such.,Development,x,Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-012,Headings follow a hierarchical sequence without skipping any levels.,Author,"",Content Authoring,User Experience (UX) Design,none,1.3.1,A
SEM-013,Headings are marked up using h1 to h6 elements or other equivalent means.,Development,"",Front-End Development,"User Experience (UX) Design, Content Authoring",none,1.3.1,A
SEM-014,Page contains a level 1 heading that describes the page content.,Development,"",Front-End Development,"User Experience (UX) Design, Content Authoring",none,1.3.1,A
SEM-015,Whitespace or pre-formatted text is not used to render content to appear as multiple columns or tabular information.,Development,"",Front-End Development,none,none,1.3.1,A
SEM-016,"Use of native, semantic HTML elements are prioritized over other methods.",Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
SEM-017,The source code (or DOM) order matches the suggested visual order of the design.,Development,x,Front-End Development,User Experience (UX) Design,none,1.3.2,A
SEM-018,"iFrames displaying content are provided with a clear, informative title attribute value.",Design,x,User Experience (UX) Design,Content Authoring,none,2.4.1,A
SEM-019,Page title text matches the level 1 heading text.,Author,"",Content Authoring,none,none,2.4.2,A
SEM-020,Pages are described using unique and descriptive page title values.,Author,x,Content Authoring,none,none,2.4.2,A
SEM-021,The tab order logically and predictably follows the expected interaction order of the visual design.,Development,"",Front-End Development,User Experience (UX) Design,none,2.4.3,A
SEM-022,Heading text meaningfully describes the content's topic or purpose.,Author,x,Content Authoring,none,none,2.4.6,AA
SEM-023,The main heading of the page describes the content of the page.,Author,x,Content Authoring,none,none,2.4.6,AA
SEM-024,"Source code is properly nested, according to its specification.",Development,"",Front-End Development,none,none,4.1.1,A
SEM-025,Source code elements are provided with complete start and end tags (or are self-closed) according to specification.,Development,"",Front-End Development,none,none,4.1.1,A
SEM-026,ID attribute values assigned to elements are unique.,Development,"",Front-End Development,none,none,4.1.1,A
SEM-027,Elements do not contain duplicate attributes.,Development,"",Front-End Development,none,none,4.1.1,A
SEM-028,iFrames are given a title that describes their content or purpose.,Design,"",User Experience (UX) Design,Content Authoring,none,4.1.2,A
SEM-029,iFrames are implemented using title attribute values that describe their content or purpose.,Development,"",Front-End Development,Content Authoring,none,4.1.2,A
INP-001,Additional content triggered by focus or hover that covers other information can be dismissed by the user.,Design,"",User Experience (UX) Design,Front-End Development,none,1.4.13,AA
INP-002,Additional content triggered by pointer hover does not disappear when trying to move the pointer over it.,Design,"",User Experience (UX) Design,Front-End Development,none,1.4.13,AA
INP-003,"Additional content triggered by hover or focus stays visible until purposefully un-triggered, dismissed, or is no longer valid.",Design,"",User Experience (UX) Design,Front-End Development,none,1.4.13,AA
INP-004,"All actionable elements can be reached, using only the keyboard.",Development,x,Front-End Development,User Experience (UX) Design,none,2.1.1,A
INP-005,"All active elements can be triggered, using only the keyboard.",Development,x,Front-End Development,User Experience (UX) Design,none,2.1.1,A
INP-006,Device-specific programmatic event handlers are not used as the only way to trigger interactions.,Development,"",Front-End Development,none,none,2.1.1,A
INP-007,Behaviors for hover and focus states are planned and included with the design assets.,Design,x,User Experience (UX) Design,Visual Design,none,2.1.1,A
INP-008,Keyboard focus states are planned for every active element.,Design,"",User Experience (UX) Design,Visual Design,none,2.1.1,A
INP-009,Keyboard focus is not applied to non-active or static elements.,Development,"",Front-End Development,User Experience (UX) Design,none,2.1.1,A
INP-010,Custom active elements replicate all inherent keyboard behaviors of native active HTML elements.,Development,"",Front-End Development,User Experience (UX) Design,none,2.1.1,A
INP-011,Non-interactive elements are not assigned JavaScript event handlers.,Development,"",Front-End Development,none,none,2.1.1,A
INP-012,"Users can navigate away from all active elements, using only the keyboard.",Development,x,Front-End Development,none,none,2.1.2,A
INP-013,All actionable elements can be reached using only the keyboard without requiring specific timings for individual keystrokes.,Design,"",User Experience (UX) Design,Front-End Development,none,2.1.3,AAA
INP-014,"Single-key keyboard shortcuts can be disabled or remapped, unless they are only active on keyboard focus.",Design,"",User Experience (UX) Design,none,none,2.1.4,A
INP-015,Users can tab through active elements in an order that reflects the intended interaction order of the design.,Development,x,Front-End Development,"User Experience (UX) Design, Visual Design",none,2.4.3,A
INP-016,Tabindex attributes are not assigned positive integer values.,Development,"",Front-End Development,none,none,2.4.3,A
INP-017,Every element that receives keyboard focus is designed to display a visible focus indicator.,Design,x,Visual Design,User Experience (UX) Design,none,2.4.7,AA
INP-018,Every element that receives keyboard focus displays a visible focus indicator.,Development,x,Front-End Development,Visual Design,none,2.4.7,AA
INP-019,"Non-essential multipoint, path- or gesture-based functions have single-pointer alternatives.",Design,"",User Experience (UX) Design,none,none,2.5.1,A
INP-020,"Non-essential single-pointer functionality is not triggered on down events, unless the functionality can be canceled, undone, or reversed.",Design,"",User Experience (UX) Design,Front-End Development,none,2.5.2,A
INP-021,Text or images of text that is usually included in a user interface control is part of its accessible name.,Author,"",Content Authoring,User Experience (UX) Design,none,2.5.3,A
INP-022,All non-essential motion-related functionalities have alternative user interface controls that allow for equivalent actions.,Design,"",User Experience (UX) Design,none,none,2.5.4,A
INP-023,All non-essential motion-related functionality can be turned off to prevent accidental actuation.,Design,"",User Experience (UX) Design,none,none,2.5.4,A
INP-024,All functionality requiring dragging movements can also be operated using single-pointer alternatives.,Design,,User Experience (UX) Design,none,none,2.5.7,AA
INP-025,Any programmatic grouping of controls has a target area of at least 24 by 24 CSS pixels.,Development,,Front-End Development,Visual Design,User Experience (UX) Design,2.5.8,AA
INP-026,Keyboard focus does not move automatically from one form control to the next.,Design,x,User Experience (UX) Design,Front End Development,none,3.2.2,A
FRM-001,Text labels are marked up using the label element or other equivalent means.,Development,x,Front-End Development,none,none,1.3.1,A
FRM-002,"Text labels and form controls are programmatically associated (using the FOR and ID attributes, or equivalent means).",Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-003,"Submit buttons in forms rely on a submit input type, a button element, or other equivalent means.",Development,"",Front-End Development,none,none,1.3.1,A
FRM-004,Related form controls are programmatically associated using fieldset and legend elements or other equivalent means.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-005,"Long option lists in select elements are grouped semantically (using the optgroup element, or other equivalent means).",Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-006,"Common group label text is informative, meaningful and provides context for the grouping.",Author,"",Content Authoring,User Experience (UX) Design,none,1.3.1,A
FRM-007,Instructions and messages are programmatically conveyed to assistive technologies.,Development,x,Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-008,Use of native HTML controls are prioritized over other methods.,Development,"",Front-End Development,none,none,1.3.1,A
FRM-009,Required fields are programmatically conveyed as such to assistive technologies.,Development,x,Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-010,Instructions on how to use forms are programmatically conveyed to assistive technologies.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
FRM-011,Information that is relevant to a form does not appear after the submit button.,Design,"",User Experience (UX) Design,none,none,1.3.2,A
FRM-012,Data entry fields are designed to autofill previously entered user information when that information is available.,Design,"",User Experience (UX) Design,Front-End Development,none,1.3.5,AA
FRM-013,Data entry fields using the autocomplete attribute for previously entered information are set to the appropriate value.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.5,AA
FRM-014,"The purpose of user interface components, icons, and regions is implemented using markup languages, in a way that can be programmatically determined.",Development,"",Front-End Development,User Experience (UX) Design,none,1.3.6,AAA
FRM-015,Keyboard focus is dynamically moved to the error message when errors are returned.,Development,"",Front-End Development,User Experience (UX) Design,none,2.4.3,A
FRM-016,The purpose of the form control is clearly described in text.,Author,x,Content Authoring,User Experience (UX) Design,none,2.4.6,AA
FRM-017,The content is designed in a way that does not restrict input modalities available.,Design,"",User Experience (UX) Design,Front-End Development,none,2.5.6,AAA
FRM-018,Changes of context are not initiated automatically as user interface components receive focus.,Design,"",User Experience (UX) Design,Front-End Development,none,3.2.1,A
FRM-019,Event handlers are not used to automatically trigger a change of context upon input that would otherwise require explicit user action unless previously communicated.,Development,"",Front-End Development,User Experience (UX) Design,none,3.2.2,A
FRM-020,Form interactions are not designed to include automatic changes of context upon input that would otherwise require explicit user action unless previously communicated.,Design,x,User Experience (UX) Design,Front-End Development,none,3.2.2,A
FRM-021,Error messages and alerts are visually displayed across the site in a consistent manner.,Design,"",User Experience (UX) Design,Visual Design,none,3.2.4,A
FRM-022,Visual indicators are presented to support error messages when errors are returned.,Design,x,Visual Design,User Experience (UX) Design,none,3.2.4,A
FRM-023,Inline error messages are displayed next to their related form controls.,Design,"",User Experience (UX) Design,none,none,3.3.1,A
FRM-024,Error messages are grouped as a list at the top of the form.,Design,"",User Experience (UX) Design,Visual Design,none,3.3.1,A
FRM-025,Radio buttons and checkbox labels are positioned to the right of their respective form controls (for left-to-right languages).,Design,"",User Experience (UX) Design,none,none,3.3.2,A
FRM-026,Related form controls and their respective labels are grouped together visually.,Design,"",User Experience (UX) Design,Visual Design,none,3.3.2,A
FRM-027,Instructions are in close visual proximity to their related controls.,Design,"",User Experience (UX) Design,none,none,3.3.2,A
FRM-028,Form controls are coded to have persistent visual labels.,Development,"",Front-End Development,User Experience (UX) Design,Visual Design,3.3.2,A
FRM-029,Form controls are designed to have persistent visual labels.,Design,x,User Experience (UX) Design,Visual Design,none,3.3.2,A
FRM-030,Clear text-based instructions are provided on how to use the form controls.,Author,"",Content Authoring,User Experience (UX) Design,Visual Design,3.3.2,A
FRM-031,Instructions provided in forms are displayed in a clear and unambiguous way.,Design,x,Visual Design,User Experience (UX) Design,none,3.3.2,A
FRM-032,Placeholder text is not used in lieu of regular text label elements.,Design,"",User Experience (UX) Design,none,none,3.3.2,A
FRM-033,Error messages returned provide clear instructions on how to fix them.,Author,"",Content Authoring,User Experience (UX) Design,none,3.3.3,AA
FRM-034,Instructions intending to prevent errors are provided in text and available.,Development,"",Front-End Development,User Experience (UX) Design,Content Authoring,3.3.2,AA
FRM-035,Text-based instructions are provided to help users correct errors.,Design,x,User Experience (UX) Design,"Content Authoring, Visual Design",none,3.3.3,AA
FRM-036,"Users are provided with means to prevent and correct form errors when legal, financial, or data information is involved.",Design,x,User Experience (UX) Design,Business Analysis,none,3.3.4,AA
FRM-037,"When legal, financial, or data information is involved, confirmation screens are provided prior to any final form submission.",Design,"",User Experience (UX) Design,Business Analysis,Front-End Development,3.3.4,AA
FRM-038,Context-sensitive help text is available.,Design,"",User Experience (UX) Design,Content Authoring,none,3.3.5,AAA
FRM-039,Users are provided with means to prevent and correct form errors.,Design,"",User Experience (UX) Design,Business Analysis,none,3.3.6,AAA
FRM-040,"Except when it is essential for users to re-enter information in the same session, previously entered information is made available through auto-population or user selection.",Design,"",User Experience (UX) Design,Front-End Development,,3.3.7,A
FRM-041,Cognitive function tests that do not rely on object recognition or personal content must provide an alternative non-cognitive method or an assistive mechanism.,Design,,User Experience (UX) Design,Front-End Development,Business Analysis,3.3.8,AA
FRM-042,A cognitive function test during authentication is not required unless an alternative non-cognitive method or an assistive mechanism is provided.,Design,,User Experience (UX) Design,Front-End Development,Business Analysis,3.3.9,AAA
CSS-001,Icon fonts used to convey information are provided with a text equivalent.,Design,"",User Experience (UX) Design,Content Authoring,none,1.1.1,A
CSS-002,The meaning of icon fonts is determined programmatically using the aria-label attribute (or other equivalent means).,Development,"",Front-End Development,Content Authoring,none,1.1.1,A
CSS-003,"Icon fonts whose default accessible name do not represent what the icon is, are overwritten using an aria-hidden attribute (or other equivalent means).",Development,"",Front-End Development,none,none,1.1.1,A
CSS-004,Background images identified as decorative are implemented as such.,Development,"",Front-End Development,Visual Design,none,1.1.1,A
CSS-005,CSS pseudo-selectors such as :before and :after are not used to integrate informative content.,Development,"",Front-End Development,none,none,1.3.1,A
CSS-006,Shape and location are never used as the only way to convey information and relationships between page components.,Design,x,Visual Design,User Experience (UX) Design,Content Authoring,1.3.3,A
CSS-007,Users relying on High Contrast themes don't lose information as a result of doing so.,Development,"",Front-End Development,Visual Design,none,1.3.3,A
CSS-008,"Content is viewable in both portrait and landscape orientation, unless a particular orientation is essential.",Design,"",User Experience (UX) Design,Visual Design,none,1.3.4,AA
CSS-009,"Color is never used as the only way to convey information, context, indicate selection or the presence of errors.",Design,x,Visual Design,User Experience (UX) Design,Content Authoring,1.4.1,A
CSS-010,"For a link that is not underlined and in a paragraph text, its text color is sufficiently contrasted by providing a luminosity ratio of at least 3:1 against its surrounding text.",Design,x,Visual Design,none,none,1.4.1,A
CSS-011,"Regular-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 4.5:1.",Design,x,Visual Design,none,none,1.4.3,AA
CSS-012,"Large-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 3:1.",Design,"",Visual Design,none,none,1.4.3,AA
CSS-013,Users can resize the text on the page up to 200% without any loss of content or functionality.,Design,x,Visual Design,Front End Development,User Experience (UX) Design,1.4.4,AA
CSS-014,"CSS techniques are used to ensure that content doesn't overflow, overlap or get truncated as a result of increasing the text size.",Development,x,Front-End Development,Visual Design,User Experience (UX) Design,1.4.4,AA
CSS-015,"CSS background sprites don't include images of text, unless equivalent text alternatives are also provided as part of the HTML.",Development,"",Front-End Development,"Content Authoring, Visual Design",none,1.4.5,AA
CSS-016,"Regular-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 7:1.",Design,"",Visual Design,none,none,1.4.6,AAA
CSS-017,"Large-sized text is sufficiently contrasted against its background, with a luminosity ratio of at least 4.5:1.",Design,"",Visual Design,none,none,1.4.6,AAA
CSS-018,The design makes it possible for end users to enlarge the text so that it reflows into a single column without any loss of information or functionality.,Design,"",Visual Design,User Experience (UX) Design,none,1.4.10,AA
CSS-019,Displaying content on narrower screens or magnifying it does not cause multidirectional scrolling.,Design,x,Visual Design,Front-End Development,User Experience (UX) Design,1.4.10,AA
CSS-020,"All non-text user interface components and graphical objects are sufficiently contrasted against their background, with a luminosity ratio of at least 3:1.",Design,x,Visual Design,none,none,1.4.11,AA
CSS-021,"Adjusting spacing between letters, words, or paragraphs, or adjusting line height does not cause a loss of content or functionality.",Design,"",Visual Design,Front-End Development,none,1.4.12,AA
CSS-022,The CSS outline property of objects that receive keyboard focus are not set to zero or none.,Development,"",Front-End Development,Visual Design,none,2.4.7,AA
CSS-023,"Elements that receive keyboard focus are at least partially visible in the viewport, without being covered by other content.",Design,,User Experience (UX) Design,Front-End Development,Visual Design,2.4.11,AA
CSS-024,"Elements that receive keyboard focus are fully visible within the viewport, without being covered by other content.",Design,,User Experience (UX) Design,Front-End Development,Visual Design,2.4.12,AAA
CSS-025,"The keyboard focus indicator is clearly visible and has a minimum area equivalent to a 2 CSS pixel thick border around the focused element, except situations where no visible change is required.",Design,,Visual Design,,"User Experience (UX) Design, Front-End Development",2.4.13,AAA
CSS-026,The focus indicator has a contrast ratio of at least 3:1 between the same pixels in the focused and unfocused states.,Design,,Visual Design,none,none,2.4.13,AAA
CSS-027,"Unless the interactive element is part of a sentence or a block of text, its size must be at least 44 x 44 pixels.",Design,x,Visual Design,none,none,2.5.5,AAA
CSS-028,A minimum height and width of 24 CSS pixels is provided for each interactive target that is not an inline link or control.,Design,,Visual Design,none,none,2.5.8,AA
CSS-029,"For any control that is less than 24 by 24 CSS pixels, add padding so that the target area is at least 24 by 24 CSS pixels.",Design,,Visual Design,none,none,2.5.8,AA
CSS-030,Controls with the same functionality or destination are combined within a single target area that is at least 24 by 24 CSS pixels.,Design,,User Experience (UX) Design,Visual Design,Front-End Development,2.5.8,AA
NAV-001,Active objects and other calls to action are visually identifiable as such.,Design,x,Visual Design,none,none,1.3.1,A
NAV-002,"Instructions are conveyed through more than shape, size, position, or sound alone.",Author,"",Content Authoring,User Experience (UX) Design,none,1.3.3,A
NAV-003,Additional visual and/or textual cues are provided when color is used to convey information.,Design,x,User Experience (UX) Design,"Visual Design, Content Authoring",none,1.4.1,A
NAV-004,Users are notified when time limits are about to expire.,Design,"",User Experience (UX) Design,Business Analysis,none,2.2.1,A
NAV-005,"Options to extend, or even turn off time limits are provided.",Design,"",User Experience (UX) Design,Business Analysis,none,2.2.1,A
NAV-006,"Users are given means to pause, stop or hide content that automatically updates.",Design,x,User Experience (UX) Design,none,none,2.2.2,A
NAV-007,"Users are provided with means to turn off all updates, except in case of emergencies.",Design,"",User Experience (UX) Design,none,none,2.2.4,AAA
NAV-008,Users are provided with means to re-authenticate sessions without loss of data.,Design,"",User Experience (UX) Design,none,none,2.2.5,AAA
NAV-009,Users can bypass blocks of content using skip links or similar mechanisms.,Design,x,User Experience (UX) Design,none,none,2.4.1,A
NAV-010,Skip links (and similar mechanisms) for main content and navigation are provided at the most effective location in the interface (such as the very first tab stop).,Design,"",User Experience (UX) Design,none,none,2.4.1,A
NAV-011,The functionality and expected destination of skip links and similar mechanisms is clearly defined.,Design,"",User Experience (UX) Design,Content Authoring,none,2.4.1,A
NAV-012,Skip links and similar mechanisms point to the expected destination.,Development,x,Front-End Development,User Experience (UX) Design,none,2.4.1,A
NAV-013,All active elements receive focus in a logical and predictable order that is prescribed by the visual presentation.,Development,"",Front-End Development,User Experience (UX) Design,"User Experience (UX), Design Visual Design",2.4.3,A
NAV-014,A logical and predictable focus order is defined for complex interactions.,Design,x,User Experience (UX) Design,none,none,2.4.3,A
NAV-015,Objects that are not actionable are not part of the tabbing order.,Development,"",Front-End Development,User Experience (UX) Design,none,2.4.3,A
NAV-016,Focus is sent back to the initiating point when modal dialogs and controls are dismissed.,Development,"",Front-End Development,User Experience (UX) Design,none,2.4.3,A
NAV-017,Event handlers do not unexpectedly send the focus somewhere else on the page.,Development,"",Front-End Development,none,none,2.4.3,A
NAV-018,"Link text and alternate text for images, when used as links, describe the destination or purpose of the link.",Author,x,Content Authoring,none,none,2.4.4,A
NAV-019,Links are marked up using the anchor element and have a valid href attribute value (or use other equivalent means).,Development,"",Front-End Development,none,none,2.4.4,A
NAV-020,"Multiple mechanisms are provided for wayfinding, such as navigation menus, breadcrumbs, search features, site map, progress bar, steps, etc.",Design,x,User Experience (UX) Design,none,none,2.4.5,AA
NAV-021,Indications are provided to help users identify their current location within the site.,Design,"",User Experience (UX) Design,Visual Design,none,2.4.8,AAA
NAV-022,"The purpose of each link can be identified in its immediate context, or from the link text alone.",Author,"",Content Authoring,User Experience (UX) Design,none,2.4.9,AAA
NAV-023,Content is logically organized using section headings.,Author,"",Content Authoring,User Experience (UX) Design,Front-End Development,2.4.10,AAA
NAV-024,"Setting the focus to a new element doesn't automatically trigger a context change, such as content updates or the opening of new windows.",Design,x,User Experience (UX) Design,Front-End Development,none,3.2.1,A
NAV-025,"Interacting with input controls or other equivalent elements doesn't automatically trigger a change of context, unless the user has been notified ahead of time.",Design,"",User Experience (UX) Design,Front-End Development,none,3.2.2,A
NAV-026,Navigation mechanisms are repeated consistently throughout the site or application in the same relative order.,Design,x,User Experience (UX) Design,Visual Design,none,3.2.3,AA
NAV-027,Navigational graphics and icons used throughout the site or application are designed to always serve the same function and or meaning.,Design,x,Visual Design,User Experience (UX) Design,none,3.2.4,AA
NAV-028,The accessible name of user interface components used across the site or application are defined consistently.,Author,"",Content Authoring,User Experience (UX) Design,none,3.2.4,AA
NAV-029,Users can consistently distinguish between links internal to a page and links going to different locations.,Design,"",Visual Design,none,none,3.2.4,AA
NAV-030,Links that open new windows visually indicate they will do so.,Design,"",User Experience (UX) Design,Visual Design,none,3.2.5,AAA
NAV-031,"Links that open new windows indicate they will do so, either as part of the link text, or using aria-label or equivalent means.",Development,"",Front-End Development,Content Authoring,none,3.2.5,AAA
NAV-032,Help mechanisms are repeated consistently throughout the site or application in the same relative order.,Design,,User Experience (UX) Design,Visual Design,none,3.2.6,AAA
TAB-001,Tables are only to be used to lay out tabular information or data.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
TAB-002,Table row and/or column headers provide context for data within the table.,Design,"",User Experience (UX) Design,none,none,1.3.1,A
TAB-003,Data table structure is appropriate for the data being included.,Design,"",User Experience (UX) Design,none,none,1.3.1,A
TAB-004,Tabular data and corresponding header cells for that data are part of the same table.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
TAB-005,Header cells for rows are marked up using THEAD elements.,Development,"",Front-End Development,none,none,1.3.1,A
TAB-006,Header cells for columns are marked up using TH elements.,Development,"",Front-End Development,none,none,1.3.1,A
TAB-007,The relationship between table header rows and table header columns with data cells in simple data tables is provided through the SCOPE attributes.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
TAB-008,The relationship between table header rows and table header columns with data cells in complex data tables is provided through the HEADERS and ID attributes.,Development,"",Front-End Development,User Experience (UX) Design,none,1.3.1,A
TAB-009,Caption elements are used to associate caption information with data tables.,Development,"",Front-End Development,none,none,1.3.1,A
TAB-010,"Large, complex data tables are broken into smaller, simpler data tables (when possible).",Design,"",User Experience (UX) Design,"Visual Design, Content Authoring",none,1.3.1,A
TAB-011,Unrelated data is not included in the same data table.,Design,"",User Experience (UX) Design,Content Authoring,none,1.3.1,A
TAB-012,Tables are not used for layout purposes.,Development,"",Front-End Development,none,none,1.3.1,A
TAB-013,Tables are not used to layout lists.,Development,"",Front-End Development,none,none,1.3.1,A
TAB-014,"Caption elements, aria-labelledby attributes or other equivalent means are used to explain the structure of data tables.",Development,"",Front-End Development,none,none,1.3.1,A
TAB-015,A meaningful description of the structure of data tables is provided.,Author,x,Content Authoring,User Experience (UX) Design,none,1.3.1,A
TAB-016,"The programmatic order of the table content matches the intended reading order, so not to affect its meaning.",Development,"",Front-End Development,User Experience (UX) Design,none,1.3.2,A
TAB-017,All data table header cells are identified.,Design,"",User Experience (UX) Design,Front-End Development,none,2.4.6,AA
ANM-001,Text transcripts are provided for prerecorded audio-only files.,Author,x,Content Authoring,User Experience (UX) Design,none,1.2.1,A
ANM-002,Text transcripts are provided for prerecorded video-only files.,Author,x,Content Authoring,User Experience (UX) Design,none,1.2.1,A
ANM-003,Links to transcript files are provided in close proximity to the audio-only files.,Design,"",User Experience (UX) Design,none,none,1.2.1,A
ANM-004,The relationship between multimedia files and their associated transcript is clearly communicated through content sequence or focus order.,Design,"",User Experience (UX) Design,Front-End Development,none,1.2.1,A
ANM-005,Copy on the page identifies when video content has no sound.,Design,"",User Experience (UX) Design,Content Authoring,none,1.2.1,A
ANM-006,"When appropriate, further information about the multimedia file is provided in proximity to the multimedia file.",Design,"",User Experience (UX) Design,none,none,1.2.1,A
ANM-007,Synchronized captions are provided for all prerecorded video content.,Author,x,Content Authoring,User Experience (UX) Design,none,1.2.2,A
ANM-008,Captions do not skip dialogues or important sounds.,Author,"",Content Authoring,none,none,1.2.2,A
ANM-009,Multimedia player controls are provided to turn captions on or off.,Design,"",User Experience (UX) Design,none,none,1.2.2,A
ANM-010,Text transcripts report all significant information from the audio track.,Author,x,Content Authoring,none,none,1.2.3,A
ANM-011,Text transcripts or audio descriptions report all significant information from the visual track.,Author,"",Content Authoring,none,none,1.2.3,A
ANM-012,Synchronized captions are provided for all live video content.,Author,"",Content Authoring,none,none,1.2.4,AA
ANM-013,Captions for live audio content are generated using real-time text transcription services.,Author,"",Content Authoring,User Experience (UX) Design,none,1.2.4,AA
ANM-014,Prerecorded videos have audio descriptions that captures all significant information from the visual track.,Author,"",Content Authoring,none,none,1.2.5,AA
ANM-015,Controls to toggle audio descriptions features are provided as part of the media player controls.,Design,"",User Experience (UX) Design,none,none,1.2.5,AA
ANM-016,Multimedia player controls are provided to access a version of the video with audio description.,Design,"",User Experience (UX) Design,none,none,1.2.5,AA
